0,1
https://news.detik.com/berita/d-5869025/puan-beri-selamat-ke-ketum-pbnu-gus-yahya-bawa-maslahat-untuk-umat?single=1,muktamar
https://news.detik.com/berita/d-5869017/tenaga-ahli-ksp-pemerintah-sangat-senang-gus-yahya-terpilih-jadi-ketum-pbnu?single=1,muktamar
https://news.detik.com/berita/d-5868952/miftachul-akhyar-gus-yahya-pimpin-nu-mardani-pks-siap-jadi-murid?single=1,muktamar
https://news.detik.com/berita/d-5868910/cak-imin-posting-momen-gus-yahya-sungkem-ke-said-aqil-di-muktamar-nu?single=1,muktamar
https://news.detik.com/berita/d-5868925/rais-aam-pbnu-adalah-kh-miftachul-akhyar-begini-momen-pemilihannya?single=1,muktamar
https://news.detik.com/berita/d-5868887/jadi-ketum-pbnu-yahya-staquf-ingin-buat-kabinet-kerja-libatkan-said-aqil?single=1,muktamar
https://news.detik.com/berita/d-5868876/pelukan-hangat-gus-yahya-untuk-said-aqil-di-pengujung-muktamar-nu?single=1,muktamar
https://news.detik.com/berita/d-5868855/gus-yahya-dari-kemarin-kita-kayaknya-berantem-tapi-sebetulnya-gergeran-terus?single=1,muktamar
https://news.detik.com/berita/d-5868844/ahy-selamat-ketum-pbnu-gus-yahya-demokrat-siap-bersinergi?single=1,muktamar
https://news.detik.com/detiktv/d-5868806/gus-yahya-jadi-ketum-pbnu-said-aqil-pilihan-yang-sangat-tepat?single=1,muktamar
https://news.detik.com/berita/d-5868795/airlangga-mau-ketum-pbnu-baru-kawal-transformasi-kehidupan-era-digital?single=1,muktamar
https://news.detik.com/berita/d-5868787/pan-selamat-kh-miftachul-akhyar-gus-yahya-bawa-pbnu-lebih-besar?single=1,muktamar
https://news.detik.com/berita-jawa-tengah/d-5868731/yahya-staquf-terpilih-jadi-ketum-pbnu-ini-harapan-muhammadiyah?single=1,muktamar
https://news.detik.com/berita/d-5868723/momen-yahya-staquf-cium-tangan-lalu-peluk-said-aqil-di-muktamar-nu?single=1,muktamar
https://news.detik.com/berita/d-5868700/pkb-gus-yahya-wajah-islam-yang-serukan-persaudaraan-seluruh-umat?single=1,muktamar
